roi_index	roi_name	n	w_non	mu_non	sd_non	mu_path	sd_path	L_nonQ	G_pathQ25	T_start	n_nonpath	n_path
116	tau.SUVR.Schaefer200.ROI.idx.116	267	0.960232256460836	0.940212612354762	0.0912612268618049	1.4147029512331901	0.29927565966283404	1.1525179734470812	1.2128445863074375	1.2128445863074375	258	9
117	tau.SUVR.Schaefer200.ROI.idx.117	267	0.9347133398411377	1.00731222336472	0.12271936688377227	1.642869234581351	0.49607753421265904	1.2928001616184224	1.3082700224523662	1.3082700224523662	252	15
118	tau.SUVR.Schaefer200.ROI.idx.118	267	0.9810082711322182	0.9230856895596143	0.1030471699992281	1.505484082873843	0.1140463361912449	1.1628092544132442	1.428560998065432	1.428560998065432	263	4
119	tau.SUVR.Schaefer200.ROI.idx.119	267	0.9597445580392483	0.9340442705599471	0.11584013143610764	1.5885983160749932	0.46318308009300707	1.2035287140549482	1.2761860760880093	1.2761860760880093	259	8
120	tau.SUVR.Schaefer200.ROI.idx.120	267	0.8957623595833953	0.9701158304145218	0.0906626381424855	1.358341139566492	0.43792840736214783	1.1810286659122275	1.062962917481029	1.1810286659122275	245	22
121	tau.SUVR.Schaefer200.ROI.idx.121	267	0.9095844091935323	0.9505996883903461	0.10333948816071592	1.1927724326718863	0.32077286314076014	1.1910032869774967	0.976414424342393	1.1910032869774967	252	15
122	tau.SUVR.Schaefer200.ROI.idx.122	267	0.9599609379978185	0.9178046570592098	0.10695846384591737	1.289095309386895	0.18470388943595265	1.1666272520378342	1.1645144291409948	1.1666272520378342	258	9
123	tau.SUVR.Schaefer200.ROI.idx.123	267	0.9700814112593235	0.907672922296718	0.10554234261765491	1.420303721397925	0.36011257865442836	1.15320112666659	1.1774114781788327	1.1774114781788327	259	8
124	tau.SUVR.Schaefer200.ROI.idx.124	267	0.8883402742818823	1.0266777437268926	0.09116046118082481	1.265533523639816	0.3241753751372462	1.2387486887914874	1.0468805558437737	1.2387486887914874	248	19
125	tau.SUVR.Schaefer200.ROI.idx.125	267	0.8715050339386907	1.0384799904158095	0.11131833930706019	1.4523420056752292	0.39301284069092457	1.2974451724045466	1.187258872933755	1.2974451724045466	240	27
126	tau.SUVR.Schaefer200.ROI.idx.126	267	0.9380372860037778	1.1221550920361416	0.10128341905041717	1.5259674952476614	0.38886888989583757	1.3577755586196678	1.2636794148427903	1.3577755586196678	251	16
127	tau.SUVR.Schaefer200.ROI.idx.127	267	0.9129764016385916	1.08297989271773	0.09649774089111632	1.4475014768543413	0.34459344789397744	1.307467207089523	1.2150767282651258	1.307467207089523	249	18
128	tau.SUVR.Schaefer200.ROI.idx.128	267	0.928561739463834	1.0368118041094936	0.09857764414818718	1.4241947479808819	0.3289689793877925	1.2661376970015839	1.2023085432513496	1.2661376970015839	250	17
129	tau.SUVR.Schaefer200.ROI.idx.129	267	0.9597998176600849	1.0872407095725947	0.11011110518164148	1.6965444602506925	0.41679320654411367	1.3433974450201944	1.4154217144853294	1.4154217144853294	259	8
130	tau.SUVR.Schaefer200.ROI.idx.130	267	0.966428677971828	1.004593426665797	0.09619008400003391	1.4497248982282236	0.3150213730329579	1.2283650240830863	1.237246211024797	1.237246211024797	259	8
131	tau.SUVR.Schaefer200.ROI.idx.131	267	0.7470805043057616	1.232447218197424	0.10588182897426786	1.8504495643079222	0.579525004070752	1.4787651859312685	1.4595658890798573	1.4787651859312685	211	56
132	tau.SUVR.Schaefer200.ROI.idx.132	267	0.7647908145052356	1.197795620866206	0.09479670908095686	1.748620455781434	0.5053284092812936	1.4183257435027585	1.407781623238311	1.4183257435027585	213	54
133	tau.SUVR.Schaefer200.ROI.idx.133	267	0.7909823411056114	1.1637005558598355	0.10628144125465816	1.7562557541341801	0.49619908842671206	1.4109481607726067	1.4215745549337235	1.4215745549337235	218	49
134	tau.SUVR.Schaefer200.ROI.idx.134	267	0.8273760095611223	1.0305488861808993	0.10890990422816565	1.463115288678133	0.4782050000797357	1.2839112103440846	1.1405709176318346	1.2839112103440846	236	31
135	tau.SUVR.Schaefer200.ROI.idx.135	267	0.8459622003784342	1.094809423323599	0.10157673300252223	1.677143358952486	0.4368145586462787	1.3311122401960311	1.3825164164091457	1.3825164164091457	234	33
136	tau.SUVR.Schaefer200.ROI.idx.136	267	0.8541432799422816	1.059475292632284	0.10859817234339447	1.5906747769154599	0.46728081531711785	1.3121124199880612	1.2754986565207957	1.3121124199880612	236	31
137	tau.SUVR.Schaefer200.ROI.idx.137	267	0.8937245666861556	1.0699367651430003	0.09375485681364973	1.5942116631675114	0.44863700368121123	1.2880431769724383	1.2916106026258527	1.2916106026258527	240	27
138	tau.SUVR.Schaefer200.ROI.idx.138	267	0.9011023628470078	1.100426857315008	0.10091736928870867	1.6967506627306914	0.44420047323790873	1.3351957648135904	1.3971419964994731	1.3971419964994731	248	19
