roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
23	tau.SUVR.Schaefer200.ROI.idx.23	1	1.0999272491548746	0.08542375815361182	1.3536131576582344	0.3205403910596256
24	tau.SUVR.Schaefer200.ROI.idx.24	1	1.0601379357902012	0.09672699088563227	1.6675765819267485	0.2222062054163815
25	tau.SUVR.Schaefer200.ROI.idx.25	1	1.1285158727484108	0.10951558593369744	1.7933071634033033	0.5314371014459924
26	tau.SUVR.Schaefer200.ROI.idx.26	1	1.1229900552474685	0.08912460992051385	1.5347861645394514	0.41176855388763767
27	tau.SUVR.Schaefer200.ROI.idx.27	1	1.0168388297454387	0.09493497578145645	1.5001801530966379	0.19536046594368264
28	tau.SUVR.Schaefer200.ROI.idx.28	1	0.9745617778673603	0.09141412847249131	1.321876338949729	0.29289742445068556
29	tau.SUVR.Schaefer200.ROI.idx.29	1	1.2297752928320402	0.09908948239229916	1.8539733305662833	0.5661288403762498
30	tau.SUVR.Schaefer200.ROI.idx.30	1	1.2318059987733867	0.10980281339379654	1.9625288059150148	0.6922337884546718
31	tau.SUVR.Schaefer200.ROI.idx.31	1	1.1733921379505299	0.09625176809916731	1.772941812810622	0.64938034097987
32	tau.SUVR.Schaefer200.ROI.idx.32	1	1.186400479918046	0.11577977523520068	1.9027326646215772	0.5859094624997337
33	tau.SUVR.Schaefer200.ROI.idx.33	1	1.0411837381793299	0.10980052971956178	1.505532278906165	0.5096135645401749
34	tau.SUVR.Schaefer200.ROI.idx.34	1	1.0292388970686157	0.11563393817878152	1.5934128217094654	0.4922723176175678
35	tau.SUVR.Schaefer200.ROI.idx.35	1	1.088893957457528	0.09686911308138846	1.63453167675117	0.41997943213769273
36	tau.SUVR.Schaefer200.ROI.idx.36	1	1.100410305688776	0.09963146741963416	1.7251727820368241	0.4619923296324459
37	tau.SUVR.Schaefer200.ROI.idx.37	1	0.9882773110559667	0.11013301233863167	1.5507107885670652	0.460325153770903
38	tau.SUVR.Schaefer200.ROI.idx.38	1	0.988266748353062	0.10858930336341403	1.3960409799527793	0.4452649400270197
39	tau.SUVR.Schaefer200.ROI.idx.39	1	1.0925042862541297	0.10243985858543753	1.8004844584462827	0.47468755936079665
40	tau.SUVR.Schaefer200.ROI.idx.40	1	1.0897540295668884	0.10597093265504451	1.7033504613051726	0.4388210151664339
41	tau.SUVR.Schaefer200.ROI.idx.41	1	1.1073111357850878	0.09439660918525002	1.3083190241398055	0.2409192680180094
42	tau.SUVR.Schaefer200.ROI.idx.42	1	1.1942299807854337	0.10800448683049299	1.51883539073605	0.3956725128287471
43	tau.SUVR.Schaefer200.ROI.idx.43	1	1.0900060245812497	0.10305716029120585	1.8025809672247144	0.28847982855910237
44	tau.SUVR.Schaefer200.ROI.idx.44	1	1.115804908515243	0.10426122320279672	1.5980631273890653	0.40430085297495794
45	tau.SUVR.Schaefer200.ROI.idx.45	1	1.1023755726301183	0.09885855273238843	1.4686084394794312	0.40228818815322737
46	tau.SUVR.Schaefer200.ROI.idx.46	1	0.9844389054423037	0.1032102868783287	1.388010461133187	0.4421042018283005
47	tau.SUVR.Schaefer200.ROI.idx.47	1	1.0729263461565197	0.11530517681150938	1.7097969376094042	0.5287048629343833
48	tau.SUVR.Schaefer200.ROI.idx.48	1	1.1191962123622423	0.10662120775755687	1.6433553320144805	0.4811531315113841
49	tau.SUVR.Schaefer200.ROI.idx.49	1	1.1808473992510866	0.10226984457061256	1.5062881014888945	0.37936157191465075
50	tau.SUVR.Schaefer200.ROI.idx.50	1	1.0922463227929078	0.10902664009622258	1.3797123053619023	0.44051455872142775
51	tau.SUVR.Schaefer200.ROI.idx.51	1	1.1965058448672377	0.12410404722241329	1.690595757602422	0.42239293771500397
52	tau.SUVR.Schaefer200.ROI.idx.52	1	1.1822720630947374	0.11954032929298103	1.552669660738361	0.500016480210186
53	tau.SUVR.Schaefer200.ROI.idx.53	1	1.1393391468954093	0.090743496718861	1.4691357286494124	0.32019274230611866
54	tau.SUVR.Schaefer200.ROI.idx.54	1	1.2170183860193888	0.09484641669160779	1.691827032740706	0.46629142573286947
55	tau.SUVR.Schaefer200.ROI.idx.55	1	1.079657698520411	0.09416244674037232	1.3910761859848206	0.3065458327603425
56	tau.SUVR.Schaefer200.ROI.idx.56	1	1.124056450781181	0.12903119703715502	1.4299123826222155	0.35427419706113417
57	tau.SUVR.Schaefer200.ROI.idx.57	1	1.2049789510341515	0.11334037281461645	1.8816749885085085	0.6821854335545428
58	tau.SUVR.Schaefer200.ROI.idx.58	1	1.1203192898731362	0.105085594593217	1.7338397353294246	0.5376339187997502
59	tau.SUVR.Schaefer200.ROI.idx.59	1	1.0818294324106064	0.11019964270451271	1.7255320633316882	0.5662979777994841
60	tau.SUVR.Schaefer200.ROI.idx.60	1	1.0981956653968772	0.1108992416663299	1.716573148040095	0.503119409582795
61	tau.SUVR.Schaefer200.ROI.idx.61	1	1.0261821992296443	0.09837407841535635	1.5249708024758208	0.5051570529855065
62	tau.SUVR.Schaefer200.ROI.idx.62	1	1.1145641868975082	0.09495623910018086	1.4913951991508445	0.4189828907058694
63	tau.SUVR.Schaefer200.ROI.idx.63	1	1.1274076559064818	0.1125262228381327	1.7328567838037086	0.5000293449335435
64	tau.SUVR.Schaefer200.ROI.idx.64	1	1.0957544162144086	0.09697073402275415	1.5453462752435065	0.46726310689196304
65	tau.SUVR.Schaefer200.ROI.idx.65	1	1.1082215804023339	0.1075826157143922	1.8236645354527483	0.4557966530060689
66	tau.SUVR.Schaefer200.ROI.idx.66	1	1.0412892554829514	0.12604882678159512	1.1704302749824878	0.4866181878980272
67	tau.SUVR.Schaefer200.ROI.idx.67	1	1.2026219766492467	0.10714228964395939	1.8877739980039467	0.6266218222047832
68	tau.SUVR.Schaefer200.ROI.idx.68	1	1.1011102977742016	0.11595804518129407	1.663205836235775	0.5999080858287108
69	tau.SUVR.Schaefer200.ROI.idx.69	1	1.0271298968043558	0.12184929787159479	1.5290588695105722	0.4779273319185231
70	tau.SUVR.Schaefer200.ROI.idx.70	1	1.1149129748314681	0.10840695971360731	1.4414004263969606	0.43038841265450406
71	tau.SUVR.Schaefer200.ROI.idx.71	1	1.1354584154244538	0.10834069633012577	1.7464176409201042	0.4552931300541889
72	tau.SUVR.Schaefer200.ROI.idx.72	1	1.1258217491271907	0.09507282161672427	1.6267077827149126	0.4951723580223939
73	tau.SUVR.Schaefer200.ROI.idx.73	1	1.088180263512877	0.11707300438887097	1.608554549454863	0.5476416842989644
74	tau.SUVR.Schaefer200.ROI.idx.74	1	1.0708600071297152	0.1140882168361912	1.422154247377812	0.41936199694404597
