roi_index	roi_name	n	bic_1g	bic_2g	kept_2g	w	mu_non	sd_non	mu_path	sd_path
51	tau.SUVR.Schaefer200.ROI.idx.51	267	-74.47912024091221	-207.32439269168927	1	0.9305996046712648	1.1965058448672377	0.12410404722241329	1.690595757602422	0.42239293771500397
52	tau.SUVR.Schaefer200.ROI.idx.52	267	-117.39079926744797	-242.45487902920328	1	0.9399910043349281	1.1822720630947374	0.11954032929298103	1.552669660738361	0.500016480210186
53	tau.SUVR.Schaefer200.ROI.idx.53	267	85.72460928767542	-10.342116834847449	1	0.5516740715551578	1.1393391468954093	0.090743496718861	1.4691357286494124	0.32019274230611866
54	tau.SUVR.Schaefer200.ROI.idx.54	267	227.88254169721057	28.673626001547113	1	0.6550702633760594	1.2170183860193888	0.09484641669160779	1.691827032740706	0.46629142573286947
55	tau.SUVR.Schaefer200.ROI.idx.55	267	26.959821677972904	-78.07166115205715	1	0.6376181300322347	1.079657698520411	0.09416244674037232	1.3910761859848206	0.3065458327603425
56	tau.SUVR.Schaefer200.ROI.idx.56	267	-138.7361752190597	-199.65141910769265	1	0.9138351316516669	1.124056450781181	0.12903119703715502	1.4299123826222155	0.35427419706113417
57	tau.SUVR.Schaefer200.ROI.idx.57	267	319.00968862694367	9.447044787484632	1	0.7877563754076994	1.2049789510341515	0.11334037281461645	1.8816749885085085	0.6821854335545428
58	tau.SUVR.Schaefer200.ROI.idx.58	267	216.63700254344658	-67.19025981790301	1	0.8009458654855476	1.1203192898731362	0.105085594593217	1.7338397353294246	0.5376339187997502
59	tau.SUVR.Schaefer200.ROI.idx.59	267	181.72311480795452	-112.18797275088556	1	0.850594924397868	1.0818294324106064	0.11019964270451271	1.7255320633316882	0.5662979777994841
60	tau.SUVR.Schaefer200.ROI.idx.60	267	135.80793721183565	-130.6896321060645	1	0.8574301054456914	1.0981956653968772	0.1108992416663299	1.716573148040095	0.503119409582795
61	tau.SUVR.Schaefer200.ROI.idx.61	267	86.31957185447729	-179.85205144822177	1	0.8515327829564874	1.0261821992296443	0.09837407841535635	1.5249708024758208	0.5051570529855065
62	tau.SUVR.Schaefer200.ROI.idx.62	267	-50.76929962344745	-253.96863756942165	1	0.8711016605189524	1.1145641868975082	0.09495623910018086	1.4913951991508445	0.4189828907058694
63	tau.SUVR.Schaefer200.ROI.idx.63	267	30.096824269004166	-207.30672463669123	1	0.9122231719244954	1.1274076559064818	0.1125262228381327	1.7328567838037086	0.5000293449335435
64	tau.SUVR.Schaefer200.ROI.idx.64	267	12.924280217746233	-229.94240726368415	1	0.8713692198723306	1.0957544162144086	0.09697073402275415	1.5453462752435065	0.46726310689196304
65	tau.SUVR.Schaefer200.ROI.idx.65	267	73.9308307322634	-207.23725250767018	1	0.9052537519406035	1.1082215804023339	0.1075826157143922	1.8236645354527483	0.4557966530060689
66	tau.SUVR.Schaefer200.ROI.idx.66	267	-173.64221108930198	-233.12102493197088	1	0.9433140425493773	1.0412892554829514	0.12604882678159512	1.1704302749824878	0.4866181878980272
67	tau.SUVR.Schaefer200.ROI.idx.67	267	345.38580145052987	52.78958109756447	1	0.7336924307019808	1.2026219766492467	0.10714228964395939	1.8877739980039467	0.6266218222047832
68	tau.SUVR.Schaefer200.ROI.idx.68	267	232.36648262168993	-22.519625947356996	1	0.7985524423723304	1.1011102977742016	0.11595804518129407	1.663205836235775	0.5999080858287108
69	tau.SUVR.Schaefer200.ROI.idx.69	267	78.4566310328243	-112.35500922299917	1	0.8593678877114644	1.0271298968043558	0.12184929787159479	1.5290588695105722	0.4779273319185231
70	tau.SUVR.Schaefer200.ROI.idx.70	267	-78.78773567032346	-226.29702793079792	1	0.8879293929786319	1.1149129748314681	0.10840695971360731	1.4414004263969606	0.43038841265450406
71	tau.SUVR.Schaefer200.ROI.idx.71	267	-18.068753703598986	-245.67502872232743	1	0.9246576600328387	1.1354584154244538	0.10834069633012577	1.7464176409201042	0.4552931300541889
72	tau.SUVR.Schaefer200.ROI.idx.72	267	107.50632393587952	-170.53928226157095	1	0.8314881799557045	1.1258217491271907	0.09507282161672427	1.6267077827149126	0.4951723580223939
73	tau.SUVR.Schaefer200.ROI.idx.73	267	99.42746887580142	-130.44626344427053	1	0.8701131555571492	1.088180263512877	0.11707300438887097	1.608554549454863	0.5476416842989644
74	tau.SUVR.Schaefer200.ROI.idx.74	267	3.31187514763187	-140.4544923142928	1	0.8351555474472679	1.0708600071297152	0.1140882168361912	1.422154247377812	0.41936199694404597
75	tau.SUVR.Schaefer200.ROI.idx.75	267	221.1795359737301	-45.148419334757335	1	0.8033193910971527	1.152219152371069	0.11180758176764728	1.7139539688425343	0.5908578737195297
76	tau.SUVR.Schaefer200.ROI.idx.76	267	13.114816095432136	-188.19915619453008	1	0.8326311048695201	1.1015419774856907	0.09830124665107326	1.5167138730857792	0.40097745708133276
77	tau.SUVR.Schaefer200.ROI.idx.77	267	156.53426062293164	-149.15816864479544	1	0.841378370766147	1.1951315627695072	0.099347697655815	1.794708624625318	0.5304563234205075
78	tau.SUVR.Schaefer200.ROI.idx.78	267	145.0074098283779	-92.81897180291612	1	0.8182300967120275	1.149875577676711	0.10972570820673799	1.7151933436387465	0.4647989142788901
79	tau.SUVR.Schaefer200.ROI.idx.79	267	128.05315588785174	-144.76534054407296	1	0.8513069927323846	1.1676349135203339	0.10538604398863342	1.7496897462450385	0.5079573727945965
80	tau.SUVR.Schaefer200.ROI.idx.80	267	-70.42518009632565	-241.4764075525209	1	0.9395604665882137	1.157909805309234	0.1166859612002819	1.5309251986451287	0.6092940828670234
81	tau.SUVR.Schaefer200.ROI.idx.81	267	-138.15187500908945	-278.0544269946409	1	0.953974897525342	1.0932300261675885	0.114172402357582	1.670588220891294	0.37280804762819836
82	tau.SUVR.Schaefer200.ROI.idx.82	267	-137.52079787600277	-286.9019698191102	1	0.9596563503248949	1.1481453138558344	0.11363875066927788	1.710904260721245	0.46951066491439725
83	tau.SUVR.Schaefer200.ROI.idx.83	267	152.94917383396842	-32.81561702942486	1	0.8390118984278753	1.2189890925696634	0.13629799124297765	1.7637501347803093	0.5221948806175452
84	tau.SUVR.Schaefer200.ROI.idx.84	267	296.1214930115302	37.188030532578814	1	0.7230068080469197	1.2227932053037023	0.10538993542775527	1.826304761883777	0.5676232163530478
85	tau.SUVR.Schaefer200.ROI.idx.85	267	169.85325464208478	-66.84032525626779	1	0.8033006886730407	1.1881646847481167	0.11033385114419875	1.7028141500052623	0.5261259148793125
86	tau.SUVR.Schaefer200.ROI.idx.86	267	239.9136503252019	-30.87463715176052	1	0.759817741507789	1.2201902004811558	0.10195309660669048	1.7793195317568096	0.5511359903996591
87	tau.SUVR.Schaefer200.ROI.idx.87	267	243.95920471835385	-37.144511638616194	1	0.8409249104792439	1.1500062059465757	0.12518795748898315	1.8413632845729995	0.6287852812044379
88	tau.SUVR.Schaefer200.ROI.idx.88	267	-148.76676545241745	-291.35235424960246	1	0.9516285358737833	1.072348764822995	0.1105912567317288	1.6189132947637805	0.374214387104968
89	tau.SUVR.Schaefer200.ROI.idx.89	267	-69.00282710224022	-227.4276936283212	1	0.9219654664548466	0.9879315734696597	0.1152442551198237	1.518718848034566	0.37284077355690914
90	tau.SUVR.Schaefer200.ROI.idx.90	267	-73.91608959127417	-215.93155014574288	1	0.864209375835279	1.1009129454328543	0.10530982785120167	1.4183945452144957	0.3947382577202272
91	tau.SUVR.Schaefer200.ROI.idx.91	267	16.224857904017526	-166.32578388477438	1	0.8665539634287585	0.9602437483302394	0.11195894543093211	1.4077508526856355	0.43839778757140696
92	tau.SUVR.Schaefer200.ROI.idx.92	267	-156.3068379228392	-231.61689935123977	1	0.9196978300839302	1.1470429206933777	0.12001586898566761	1.5028777355057554	0.3285791433293042
93	tau.SUVR.Schaefer200.ROI.idx.93	267	-111.28361622187727	-216.06681109218096	1	0.8467445320526362	1.2278005026044245	0.10649257686183888	1.502633907693218	0.3389486528766816
94	tau.SUVR.Schaefer200.ROI.idx.94	267	-193.04214011527017	-284.26276881936747	1	0.946402550406877	1.1552651304181645	0.11297329419383215	1.5948166349735504	0.31652246282198027
95	tau.SUVR.Schaefer200.ROI.idx.95	267	-105.64948752883313	-302.37580710891126	1	0.9400759532826154	1.0913355466923846	0.10281656969760987	1.6453270395471715	0.42006610956703044
96	tau.SUVR.Schaefer200.ROI.idx.96	267	281.3438872135699	5.319612833867922	1	0.7878038803503011	1.1247167889525314	0.11595684241549177	1.7024544880709127	0.6679178301572195
97	tau.SUVR.Schaefer200.ROI.idx.97	267	-7.9627537546849805	-249.17486797357057	1	0.9071999871334162	1.092316301801332	0.10306660010621076	1.632802287512044	0.46735375491363274
98	tau.SUVR.Schaefer200.ROI.idx.98	267	-14.632104757191291	-110.10810350749279	1	0.7042135006451565	1.1246021343085348	0.10358705323330428	1.4582030421364234	0.27529945992639243
99	tau.SUVR.Schaefer200.ROI.idx.99	267	221.74349846375267	-100.05805909514564	1	0.8106675135478734	1.1679005537463165	0.09787009432548735	1.775179978164014	0.5835093447538721
100	tau.SUVR.Schaefer200.ROI.idx.100	267	268.0192152217925	-73.70183633558418	1	0.7875683531008572	1.2056223645089488	0.09375004575737865	1.830465408920441	0.6173861464144084
101	tau.SUVR.Schaefer200.ROI.idx.101	267	219.75738745656463	-84.45731229697732	1	0.7457829945418293	1.1822855305877427	0.08488370319648475	1.6928429253980926	0.53617983461713
102	tau.SUVR.Schaefer200.ROI.idx.102	267	290.194000994958	-12.08021175381283	1	0.8412770807413315	1.1552106416314885	0.12914038161941477	1.9528685187208166	0.6520903552253976
103	tau.SUVR.Schaefer200.ROI.idx.103	267	-84.26370556223057	-302.6171540630245	1	0.8673883491688285	1.0881113741503403	0.08419344411652151	1.4238602022927478	0.40580263997051813
104	tau.SUVR.Schaefer200.ROI.idx.104	267	212.9311999093571	-68.8863320102685	1	0.8094342515041161	1.0760848396735556	0.10692829690903252	1.6055323498468956	0.615342770886756
105	tau.SUVR.Schaefer200.ROI.idx.105	267	245.39498620410794	4.822173416566191	1	0.7835408181208732	1.150112201053529	0.12065973266775303	1.7213375650795513	0.584761097916753
106	tau.SUVR.Schaefer200.ROI.idx.106	267	214.24175900470914	-59.50298213213645	1	0.7927652760459615	1.0874109825326725	0.10514122864743192	1.5999848303296518	0.5948784486632155
107	tau.SUVR.Schaefer200.ROI.idx.107	267	-37.577229042388915	-281.0933719910699	1	0.9537294267981828	1.1245550018303327	0.11020791417112276	1.8584659727717707	0.5386462879371079
108	tau.SUVR.Schaefer200.ROI.idx.108	267	-107.83064003329531	-266.8786149500436	1	0.9360084742628326	1.0592453528166743	0.11026845026703637	1.5880016247115627	0.38257526005156234
109	tau.SUVR.Schaefer200.ROI.idx.109	267	-178.42270213839765	-377.2793002958172	1	0.9178195207442962	1.1127059171195386	0.08498712030623107	1.450517266635022	0.4059934620415713
110	tau.SUVR.Schaefer200.ROI.idx.110	267	-100.19399180999028	-315.63626193390235	1	0.926948648302141	1.0932768528950767	0.09622655962889438	1.5221363379629531	0.490057644142509
111	tau.SUVR.Schaefer200.ROI.idx.111	267	17.841907886441795	-279.0104289664104	1	0.9236994490185251	1.1117349717850793	0.09990766537061567	1.7473134850097536	0.5410923288750752
112	tau.SUVR.Schaefer200.ROI.idx.112	267	90.9153722023279	-76.5118549742272	1	0.9066788669463416	1.0254717984085833	0.14706669906800643	1.5543864351807362	0.6180440537905004
113	tau.SUVR.Schaefer200.ROI.idx.113	267	-106.31090610873514	-293.0577995529024	1	0.9295032319892244	0.9374615741072849	0.10260389076978257	1.4467770159863222	0.3936455285758094
114	tau.SUVR.Schaefer200.ROI.idx.114	267	-276.20583690060243	-405.6182878201635	1	0.9593524780664924	0.9581175494354806	0.09066548896963511	1.423276144330608	0.29894527551843325
115	tau.SUVR.Schaefer200.ROI.idx.115	267	-161.5321839983377	-281.2503009501783	1	0.9341094317079931	1.0762502408995094	0.1094675055249019	1.4568828081966643	0.40016748977983363
116	tau.SUVR.Schaefer200.ROI.idx.116	267	-273.5390086997535	-403.7022136846325	1	0.9601390607477567	0.9402056910684786	0.09125220183340685	1.4137602973752732	0.29963798659322494
117	tau.SUVR.Schaefer200.ROI.idx.117	267	-6.5293349494983115	-202.95918800364092	1	0.934595378231671	1.0073000449555078	0.1226928654710324	1.6418969876473557	0.49626155031321123
118	tau.SUVR.Schaefer200.ROI.idx.118	267	-319.27254742671784	-377.96683806143403	1	0.9810022148274921	0.923083788916626	0.1030445486316228	1.505396564926586	0.11413786780057454
119	tau.SUVR.Schaefer200.ROI.idx.119	267	-103.76903009491349	-274.026282467077	1	0.9596590306652367	0.9340340305598209	0.11582516118555926	1.587454184418681	0.46344663510918976
120	tau.SUVR.Schaefer200.ROI.idx.120	267	-81.19306237721392	-303.25745223912224	1	0.8956383695780515	0.9701019131211369	0.09064072581765946	1.3579993358206652	0.43781674044139873
121	tau.SUVR.Schaefer200.ROI.idx.121	267	-228.7261706676299	-304.7755220271819	1	0.909223180938191	0.9505620011768191	0.10328943008842009	1.1921862307065398	0.32044040456996775
122	tau.SUVR.Schaefer200.ROI.idx.122	267	-309.04507273316386	-338.7769627194037	1	0.9585816969192763	0.9176221027514627	0.10682296286641217	1.280956248233648	0.18819420626066616
123	tau.SUVR.Schaefer200.ROI.idx.123	267	-246.40232546514454	-348.3438869838558	1	0.9700058255123576	0.9076643762625172	0.105532339315011	1.4192882615819944	0.36031713179360597
124	tau.SUVR.Schaefer200.ROI.idx.124	267	-218.44764604826713	-330.8440361710284	1	0.8881136369185041	1.0266596568649284	0.09113156074068685	1.2651932636261896	0.3240097360892228
125	tau.SUVR.Schaefer200.ROI.idx.125	267	-31.893567303820433	-187.40439098156438	1	0.8713549770618308	1.0384659255644213	0.11129450629790247	1.4519545257551978	0.39300139048004756
126	tau.SUVR.Schaefer200.ROI.idx.126	267	-181.3333533366528	-325.68961957777657	1	0.9377507981522102	1.1221182836673191	0.10122557196543319	1.5246635384389637	0.38864849318282363
